Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BX,Blackstone Inc. Common Stock,$94.03,1.20,1.293%,68462023807.00,United States,2007,3762078,Finance,Investment Managers
C,Citigroup Inc. Common Stock,$46.61,-0.26,-0.555%,90512916463.00,United States,,19167273,Finance,Major Banks
CB,Chubb Limited  Common Stock,$193.14,-4.78,-2.415%,81835613809.00,Switzerland,,1392844,Finance,Property-Casualty Insurers
CBOE,Cboe Global Markets Inc. Common Stock,$117.44,2.76,2.407%,13131994000.00,,2010,537250,Finance,Investment Bankers/Brokers/Service
CBRE,CBRE Group Inc Common Stock Class A,$76.47,0.78,1.031%,24995026564.00,United States,,1681946,Finance,Real Estate
CFG,Citizens Financial Group Inc. Common Stock,$35.88,-0.24,-0.664%,17776603664.00,United States,2014,3858880,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,$32.50,0.41,1.278%,11740493863.00,United States,2012,1602290,Finance,Investment Managers
CINF,Cincinnati Financial Corporation Common Stock,$119.06,-1.30,-1.08%,19091895708.00,United States,,646786,Finance,Property-Casualty Insurers
CME,CME Group Inc. Class A Common Stock,$204.36,0.08,0.039%,73451332372.00,United States,2002,1066877,Finance,Investment Bankers/Brokers/Service
CNA,CNA Financial Corporation Common Stock,$43.96,-1.15,-2.549%,11926784611.00,United States,,233354,Finance,Property-Casualty Insurers
COF,Capital One Financial Corporation Common Stock,$106.66,-0.16,-0.15%,41922782969.00,United States,1994,1890420,Finance,Finance Companies
CS,Credit Suisse Group American Depositary Shares,$5.57,-0.13,-2.281%,14237496322.00,Switzerland,,16661172,Finance,Investment Bankers/Brokers/Service
CSGP,CoStar Group Inc. Common Stock,$61.87,0.55,0.897%,24514458816.00,United States,1998,1146317,Finance,Real Estate
DB,Deutsche Bank AG Common Stock,$8.18,-0.28,-3.31%,16906204212.00,Germany,,9360645,Finance,Commercial Banks
DFS,Discover Financial Services Common Stock,$97.97,0.28,0.287%,27526150455.00,United States,,1216862,Finance,Finance: Consumer Services
EFX,Equifax Inc. Common Stock,$186.01,-0.54,-0.289%,22755555485.00,United States,,648838,Finance,Advertising
ERIE,Erie Indemnity Company Class A Common Stock,$193.74,-0.33,-0.17%,10130639026.00,United States,,80117,Finance,Specialty Insurers
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$683.71,11.13,1.655%,10940453252.00,United States,,63931,Finance,Major Banks
FDS,FactSet Research Systems Inc. Common Stock,$395.81,1.61,0.408%,15032722100.00,United States,2000,314611,Finance,Advertising
FHN,First Horizon Corporation Common Stock,$22.22,0.42,1.927%,11884939898.00,United States,,3585438,Finance,Major Banks
FITB,Fifth Third Bancorp Common Stock,$33.70,-0.14,-0.414%,23121147503.00,United States,,5053711,Finance,Major Banks
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,$37.78,0.09,0.239%,10604981479.00,United States,2014,1780870,Finance,Specialty Insurers
FRC,FIRST REPUBLIC BANK Common Stock,$148.14,0.76,0.516%,26618450720.00,United States,,923173,Finance,Commercial Banks
GS,Goldman Sachs Group Inc. (The) Common Stock,$297.20,-2.03,-0.678%,102072384205.00,United States,1999,2483079,Finance,Investment Bankers/Brokers/Service
HBAN,Huntington Bancshares Incorporated Common Stock,$12.13,0.03,0.248%,17457188614.00,United States,,13911094,Finance,Major Banks
HDB,HDFC Bank Limited Common Stock,$55.81,0.30,0.54%,103333196251.00,India,2001,1719852,Finance,Commercial Banks
HIG,Hartford Financial Services Group Inc. (The) Common Stock,$65.02,-1.22,-1.842%,21382777852.00,United States,,1965780,Finance,Property-Casualty Insurers
HSBC,HSBC Holdings plc. Common Stock,$31.61,-1.07,-3.274%,126733359039.00,United Kingdom,,3098251,Finance,Savings Institutions
IBN,ICICI Bank Limited Common Stock,$18.26,0.32,1.784%,63506883786.00,India,,9472466,Finance,Commercial Banks
ICE,Intercontinental Exchange Inc. Common Stock,$96.02,0.79,0.83%,53604730030.00,United States,2005,4313208,Finance,Investment Bankers/Brokers/Service
ING,ING Group N.V. Common Stock,$9.57,-0.37,-3.722%,35885204004.00,Netherlands,1997,6139697,Finance,Commercial Banks
IT,Gartner Inc. Common Stock,$241.21,-3.07,-1.257%,19426823768.00,United States,1993,366698,Finance,Diversified Commercial Services
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$4.19,-0.06,-1.412%,41064079317.00,Brazil,,50066079,Finance,Commercial Banks
IX,Orix Corp Ads Common Stock,$84.45,-0.23,-0.272%,20162799959.00,Japan,,60904,Finance,Diversified Financial Services
JPM,JP Morgan Chase & Co. Common Stock,$112.62,-1.43,-1.254%,330770623481.00,United States,,12515590,Finance,Major Banks
KB,KB Financial Group Inc,$35.87,-1.18,-3.185%,12642242898.00,South Korea,,371066,Finance,Commercial Banks
KEY,KeyCorp Common Stock,$17.38,-0.12,-0.686%,16206343703.00,United States,,6270557,Finance,Major Banks
KKR,KKR & Co. Inc. Common Stock,$47.65,0.92,1.969%,28237735510.00,United States,,2067643,Finance,Investment Managers
